"Tool","Category","Current Promptly Score (live baseline)","Safeguarding evidence","Data Privacy evidence","Age Suitability evidence","Accessibility evidence","Transparency evidence","Missing evidence","Review basis","Confidence level","Human review required"
"ChatGPT","Teacher Productivity","6.8","Usage Policies prohibit CSAM & sexualisation of under-18s, reporting to NCMEC (openai.com/policies/usage-policies; openai.com/index/combating-online-child-sexual-exploitation-abuse)","Trust Portal lists SOC2 Type2, ISO 27001/27017/27018/27701, GDPR/CCPA; DPA gated behind registration (trust.openai.com)","Terms: min age 13 (or local min), under-18 need parent/guardian permission (openai.com/policies/row-terms-of-use) — page 403, corroborated via search only","Trust Portal lists a VPAT (trust.openai.com) — WCAG levels not readable","OpenAI Model Spec published, dated 2025-12-18 (model-spec.openai.com/2025-12-18.html)","Privacy Policy & Terms could not be directly fetched (HTTP 403); VPAT WCAG levels/dates unread; no education-specific safeguarding doc","Desk Review (public documentation only)","Medium","Yes — Read the actual Privacy Policy, Terms and Trust Portal VPAT; confirm age wording, training/retention, WCAG levels; hands-on test teen safeguards"
"Gemini","Teacher Productivity","7.1","Gemini policy guidelines prohibit CSAM, self-harm instructions, sexual/violent content; stricter policies for younger users (gemini.google/policy-guidelines)","Gemini Apps Privacy Hub: prompt/file collection, configurable auto-delete, human-reviewed chats kept up to 3yrs disconnected from account (support.google.com/gemini/answer/13594961)","Age-gated features (18+ for some), parent-managed under-13 via Family Link; no single general minimum age stated (support.google.com/gemini/answer/13594961)","'Gemini in Workspace' Accessibility Conformance Report (VPAT) vs WCAG 2.0/2.1, Section 508, EN 301 549 (services.google.com/fh/files/misc/google_gemini_in_workspace_vpat.pdf) — covers Workspace, not consumer app","Policy guidelines acknowledge probabilistic output/errors, document limitations & reporting (gemini.google/policy-guidelines)","No clear consumer-Gemini minimum age; VPAT may not cover the consumer app; underlying model-card/version not located","Desk Review (public documentation only)","Medium-High","Yes — Confirm consumer-app minimum age and whether the Workspace VPAT applies to the deployed product; hands-on accessibility test"
"Microsoft Copilot","Teacher Productivity","8.3","M365 Copilot Chat docs describe Responsible AI safety checks on every prompt/response (learn.microsoft.com/copilot/privacy-and-protections)","Copilot Chat processed within M365 service boundary under enterprise data protection; not used to train foundation models; GDPR + EU Data Boundary (learn.microsoft.com/copilot/privacy-and-protections)","EVIDENCE NOT AVAILABLE (minimum age not directly verified; under-18 signed-in users excluded from some data uses per search)","Microsoft publishes ACRs vs WCAG/508/EN 301 549 but no Copilot-specific ACR found on the page (microsoft.com/accessibility/conformance-reports)","Doc describes architecture (orchestrator, Bing grounding, LLM, logging) and shows generated search queries via citations (learn.microsoft.com/copilot/privacy-and-protections)","Copilot-specific ACR/VPAT not located; explicit consumer minimum age/terms unverified; doc covers enterprise M365 Copilot Chat, not free consumer Copilot","Desk Review (public documentation only)","Medium","Yes — Locate Copilot-specific ACR; confirm consumer-Copilot minimum age/terms; distinguish consumer vs enterprise Copilot for schools"
"Claude","Teacher Productivity","6.8","AUP prohibits AI CSAM, minor grooming, sextortion, sexualisation of minors (under-18); guidelines for orgs serving minors require age verification, filtering, AI disclosure (anthropic.com/legal/aup; support.claude.com/en/articles/9307344)","Consumer Privacy Policy (eff. 2026-01-12): not directed at under-18s, model-training opt-out with safety exceptions, deletion on request; Trust Center holds SOC2/ISO 27001/ISO 42001 (anthropic.com/legal/privacy; trust.anthropic.com)","Privacy Policy: Services not directed to and do not knowingly collect data from under-18s (anthropic.com/legal/privacy)","EVIDENCE NOT AVAILABLE (claude.ai VPAT appears NDA-gated; no publicly readable WCAG report)","Transparency Hub publishes per-model reports/system cards: capabilities, cutoffs, training, safety evals (anthropic.com/transparency)","No publicly accessible accessibility report (VPAT NDA-gated); Trust Center contents not directly fetchable (search-corroborated)","Desk Review (public documentation only)","High (acc: Low)","Yes — Request the claude.ai VPAT; confirm Trust Center certs directly; note the 18+ floor makes direct pupil use unsuitable without an intermediary"
"MagicSchool.ai","Teaching & Learning","9.2","Safety & Privacy page: content moderation, output monitoring, flagging/audit, admin dashboards, role-based access for age-appropriate student use (magicschool.ai/ai-policy/safety-and-privacy)","Student Data Policy: service-provider under COPPA school-consent, schools are controllers, data minimisation, zero data retention with AI providers (no training/reuse); FERPA/COPPA/SOC2/GDPR badges (magicschool.ai/privacy-security/student-data-policy; magicschool.ai/privacy)","Access via schools under COPPA; age-appropriate safety features + DPIAs rather than a self-serve minimum age (magicschool.ai/privacy-security/student-data-policy)","Publishes a VPAT/ACR (Dec 2025) stating WCAG AA with recurring remediations (magicschool.ai/blog-posts/accessibility-in-education)","States it communicates which models it uses & how data is handled, but the page does not name the underlying LLMs (magicschool.ai/ai-policy/safety-and-privacy)","Actual VPAT not opened (exact WCAG version/criteria unconfirmed); underlying LLM subprocessors not enumerated; full UK/GDPR DPA terms unread (US FERPA/COPPA framing)","Desk Review (public documentation only)","High","Yes — Open the VPAT for WCAG version/level; verify named LLM subprocessors + zero-retention terms; confirm UK/GDPR DPA availability. (Calibration anchor — only tool with real sub-scores.)"
"Canva","Curriculum & Content Creation","9.3","Canva Education: no ads to education users, no student content used for AI training, students invited by teacher/admin (canva.com/policies/privacy-policy)","Privacy Policy + separate Data Processing Addendum; Canva acts as processor on documented instructions (canva.com/policies/privacy-policy; canva.com/policies/data-processing-addendum)","Child = under 13 (or higher local age); service not directed at children, no self sign-up; supervised Canva Education exception needs parental/institutional consent (canva.com/policies/privacy-policy)","VPAT/ACR vs WCAG 2.1 A/AA/AAA (PDF metadata dated 2021-07-05) (content-management-files.canva.com/.../VPAT2.4WCAGCanva.pdf)","EVIDENCE NOT AVAILABLE (Magic Studio safety help + trust/education pages returned 403; no model/version disclosure confirmed)","Could not fetch Trust Centre/education page, full DPA, or AI model transparency (all 403); current WCAG 2.2 VPAT unverified","Desk Review (public documentation only)","Medium","Yes — Verify current Canva for Education DPA, UK/EU residency, latest VPAT version, and how Canva AI (Magic Studio) processes student inputs and discloses models"
"Google Classroom","Administration & Operations","9.7","Workspace for Education: services without explicit control set to Restricted for under-18s; schools must identify under-18 users; parental consent for Additional/third-party services (support.google.com/edu/classroom/answer/11081157; workspaceupdates.googleblog.com 2025/03)","Education Privacy Notice: Google processes core-services data per the school's instructions; no ads in core services; no core-service data used for advertising (workspace.google.com/terms/education_privacy)","Children 13 and under should use Classroom only with a Workspace for Education account; each country sets its own min Google Account age (support.google.com/edu/classroom/answer/7582372)","Google Classroom (Web) ACR/VPAT, PDF titled 'October 2025', assessed vs WCAG 2.2 A & AA (services.google.com/fh/files/misc/google_classroom_web_vpat.pdf)","Privacy Notice enumerates core services (Classroom, Gemini for Education, NotebookLM) and explains processor role/data handling (workspace.google.com/terms/education_privacy)","WCAG details inferred from PDF metadata (body not machine-readable); Cloud DPA full text & FERPA/COPPA commitments not directly fetched from a Google legal page","Desk Review (public documentation only)","Medium","Yes — Confirm Classroom VPAT level/date from report body; verify CDPA terms, UK residency/transfer mechanism, and AI (Gemini) governance for under-18 education users"
"Kooth","Pastoral, Behaviour & Wellbeing","9.8","States it pre-moderates 'every single word', never publishes self-harm/suicide methods, age-gates content (10-12/13-15/16-17/18+), moderators NHS-aligned (connect.kooth.com/safety-and-governance)","Kooth named data controller (London W2 1AY), lists 7 GDPR rights, minimal data (month/year of birth, org), data will not identify/trace a user (explore.kooth.com/privacy-policy-2)","Content age-gated into four bands (10-12, 13-15, 16-17, 18+) (connect.kooth.com/safety-and-governance)","Accessibility statement exists (student.kooth.com/accessibility) but WCAG version/conformance EVIDENCE NOT AVAILABLE (page returned empty on fetch)","EVIDENCE NOT AVAILABLE (moderated human-support service; no AI/model 'how it works' disclosure located — likely N/A)","Accessibility WCAG level unverified; no formal DPA page; no clinical accreditation (BACP) page; age eligibility varies by commissioner","Desk Review (public documentation only)","Medium","Yes — Verify accessibility WCAG conformance; obtain commissioning DPA; confirm clinical governance/accreditations; check UK age eligibility for the commissioned area"
"CPOMS","Administration & Operations","9.3","Safeguarding/pastoral record-management software (its core purpose); on UK G-Cloud as 'CPOMS Engage' for safeguarding/pastoral/wellbeing (cpoms.co.uk/cpoms-safeguarding-software; applytosupply.digitalmarketplace.service.gov.uk)","ISO 27001-aligned, AES-256 at rest, TLS in transit, 24/7 SOC, annual pen testing, MFA, NCSC Cyber Essentials, G-Cloud 14; data never sold/shared without consent (cpoms.co.uk/cpoms-data-security-and-compliance)","EVIDENCE NOT AVAILABLE (staff-facing safeguarding records system, not a child-facing account product; no minimum-age policy — legitimately N/A with justification)","Accessibility statement references WCAG 2.1 via a UserWay widget; no stated conformance level; acknowledges some content not fully adapted (cpoms.co.uk/accessibility-statement)","EVIDENCE NOT AVAILABLE (record-keeping software; no AI/automated-decision system — legitimately N/A)","Controller/processor roles & UK-only residency not explicit on the security page; no published DPA text; app-specific (vs marketing-site) accessibility conformance unverified","Desk Review (public documentation only)","Medium","Yes — Obtain DPA & privacy policy; confirm processor role + UK residency in contract; verify accessibility conformance for the actual application (not the website widget)"
"ClassDojo","Parent Communication","9.4","Dojo Islands: players communicate only via pre-authored phrases/emojis, no custom text; Global Playground names temporary/random, not linked to real identity (classdojo.com/privacy)","iKeepSafe COPPA Safe Harbor + FERPA certification; student/child info never used/disclosed for third-party advertising; never sell/rent personal info (classdojo.com/privacy)","Distinguishes under-13 from teens 13-16; verifiable parental (or teacher-as-school-agent) consent before collecting a child's info; data minimisation (classdojo.com/privacy)","Independent ACR by Level Access vs WCAG 2.2 A & AA, dated 2025-04-09 (essential.classdojo.com/.../ClassDojo.com---ACR---WCAG-2.2-A_AA...pdf); statement targets WCAG 2.1 AA (classdojo.com/accessibility)","Transparency page: data on AWS/MongoDB in US, TLS 1.2/AES-256, EU-US DPF, named sub-processors, retention, 'inferences' for product improvement (classdojo.com/transparency)","'Parent AI Transparency Note' help article returned 403; specific AI features/models/providers not confirmed from a fetched source","Desk Review (public documentation only)","High","Yes — Verify the blocked AI Transparency Note; confirm which AI features process children's data and on what model; assess US data transfer (DPF) under UK GDPR"
