ID,Prompt Title,Audience,Category,Subcategory,Key Stage,Subject,SEND Tag,Compliance Tags,Free/Premium,SEO Keyword,Prompt
T001,Adaptive Lesson Builder,Teacher,Lesson Planning,Adaptive Learning,KS3,Any Subject,ADHD,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Premium,adaptive lesson plan ADHD KS3,"You are an AI assistant helping a UK secondary school teacher create an adaptive lesson plan for a class that includes pupils with ADHD. The lesson is for [SUBJECT] at Key Stage 3, covering the topic of [TOPIC]. Design a full lesson plan of approximately 60 minutes that includes: a short, high-energy starter activity lasting no more than five minutes; clearly chunked main activities with no single task running longer than 10 minutes; built-in movement breaks; visual instructions displayed alongside verbal ones; and a low-stakes exit ticket. Differentiate tasks into three tiers: support, core, and extension. Suggest two specific ADHD-friendly classroom strategies such as fidget tools or seating adjustments. Align objectives to the relevant National Curriculum programme of study. Include suggested resources and any teacher prompts for redirecting off-task behaviour positively. Format the plan with clear headings and timings."
T002,SEND Lesson Planner,Teacher,Lesson Planning,SEND,KS1-4,Any Subject,SEND,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Free,SEND lesson plan UK primary secondary,"You are an AI assistant helping a UK teacher plan an inclusive lesson for a class that includes pupils with a range of Special Educational Needs and Disabilities (SEND). The lesson covers [SUBJECT] at [KEY STAGE], focusing on [TOPIC]. Produce a 60-minute lesson plan that meets the needs of pupils with SEND by incorporating Universal Design for Learning (UDL) principles. Include: clear, jargon-free learning objectives; multi-sensory activities (visual, auditory, and kinaesthetic); scaffolded task sheets described in brief; peer support structures; and built-in processing time. Suggest at least three specific SEND adaptations aligned with the SEND Code of Practice 2015. Include a differentiated success criteria ladder for three ability levels. Ensure all suggested activities are accessible and do not disadvantage any pupil. Reference the relevant National Curriculum attainment targets. Note any resources the teacher should prepare in advance."
T003,ADHD Differentiation Designer,Teacher,Lesson Planning,Differentiation,KS2-4,Any Subject,ADHD,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Premium,ADHD differentiation strategies classroom UK,"You are an AI assistant helping a UK teacher differentiate a lesson for pupils with ADHD in a mainstream class at [KEY STAGE]. The subject is [SUBJECT] and the lesson topic is [TOPIC]. Produce a differentiation plan that addresses the three core areas of ADHD: inattention, hyperactivity, and impulsivity. For each area, suggest two specific, evidence-informed classroom strategies that can be embedded without singling out individual pupils. Design three differentiated task options for the main activity: one with additional structure and visual prompts, one at the expected level with chunked instructions, and one open-ended challenge. Recommend a seating arrangement and environmental modification. Include a brief teacher checklist of five ADHD-friendly lesson design principles to use across all lessons. Reference guidance from the SEND Code of Practice and NICE guidelines where relevant. Keep suggestions practical and low-cost."
T004,Autism Learning Scaffold,Teacher,Lesson Planning,Scaffolding,KS2-4,Any Subject,ASD,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Premium,autism learning scaffold lesson plan UK,"You are an AI assistant helping a UK teacher scaffold a lesson for a pupil or pupils on the autism spectrum in a mainstream class at [KEY STAGE]. The subject is [SUBJECT] and the lesson topic is [TOPIC]. Design a lesson scaffold that prioritises predictability, clear structure, and reduced sensory overload. Include: a pre-lesson visual overview of what will happen; step-by-step written instructions for each task; sensory-friendly activity options; explicit social expectations for group or paired work; and a clear end-of-lesson routine. Suggest how to present new or abstract concepts using concrete examples and visual supports. Include two specific communication strategies aligned with the Social Communication approach recommended in UK educational guidance. Provide a brief note for teaching assistants on how to support without over-prompting. Flag any activities that may need adapting for pupils who struggle with unpredictability or change."
T005,Dyslexia Support Lesson Creator,Teacher,Lesson Planning,Dyslexia Support,KS2-4,Any Subject,DYS,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Free,dyslexia friendly lesson plan UK teacher,"You are an AI assistant helping a UK teacher design a dyslexia-friendly lesson for [SUBJECT] at [KEY STAGE], covering the topic of [TOPIC]. Create a 60-minute lesson plan that applies the key principles of dyslexia-friendly teaching as outlined by the British Dyslexia Association and the SEND Code of Practice. Include: learning objectives presented verbally and visually; text resources adapted with at least size 12 font, sans-serif typeface, and good spacing; a multi-sensory starter activity; colour-coded notes or graphic organisers for the main task; and an oral or visual exit activity that does not rely on extended writing. Suggest two alternative assessment methods for pupils who find written output difficult. Provide a brief teacher note on positive language to use when supporting pupils with dyslexia. Ensure all activities maintain age-appropriate challenge and dignity for pupils."
T006,Retrieval Practice Generator,Teacher,Lesson Planning,Retrieval Practice,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,retrieval practice activities UK secondary,"You are an AI assistant helping a UK secondary or sixth-form teacher create retrieval practice activities for [SUBJECT] at [KEY STAGE], based on the topic [TOPIC]. Design five varied retrieval practice tasks that can be used as starters, plenaries, or homework activities. Tasks should include at least one brain dump exercise, one multiple-choice quiz with five questions, one fill-in-the-blank activity, one interleaved question set drawing on two previous topics, and one retrieval grid. For each task, specify the recommended time (typically 5 to 10 minutes), the retrieval mode (individual, paired, or class), and the feedback method. Base the design on cognitive science principles including spaced practice and the testing effect as referenced in the Education Endowment Foundation guidance. Include a brief teacher note on how to use low-stakes retrieval without increasing pupil anxiety. Align content to the [EXAM BOARD] specification if applicable."
T007,Knowledge Organiser Builder,Teacher,Lesson Planning,Knowledge Organisation,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,knowledge organiser template UK school,"You are an AI assistant helping a UK teacher create a knowledge organiser for [SUBJECT] at [KEY STAGE] on the topic of [TOPIC]. Design the structure and content of a single-page knowledge organiser that pupils can use for self-quizzing and revision. Include the following sections: key vocabulary with definitions (at least eight terms); core facts, dates, or formulae relevant to the topic; a brief overview paragraph of no more than 50 words; a timeline or sequence if applicable; and a diagram or chart description that the teacher can add visually. Write all content in clear, age-appropriate language appropriate for [KEY STAGE] pupils. Suggest three ways pupils can actively use the organiser during lessons (such as cover-and-retrieve or paired quizzing). Note how the organiser aligns with the National Curriculum or [EXAM BOARD] specification. Format with clear section headings."
T008,Starter Activity Creator,Teacher,Lesson Planning,Starters,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,lesson starter activities UK primary secondary,"You are an AI assistant helping a UK teacher create five engaging starter activities for [SUBJECT] at [KEY STAGE] on the topic of [TOPIC]. Each starter should last between three and eight minutes and require minimal set-up. For each starter, provide: a title; a clear description of the activity; the cognitive skill it practises (such as recall, reasoning, or oracy); the resources needed; and a suggested debrief question to transition into the main lesson. Vary the starters to include at least one visual stimulus activity, one discussion task, one written retrieval task, one hands-on or kinaesthetic option, and one digital or interactive option. Ensure all activities are suitable for the specified key stage and do not rely on prior reading of new content. Note any adaptations for pupils with SEND or EAL. Align the starters to the relevant National Curriculum objectives for [TOPIC]."
T009,Plenary Designer,Teacher,Lesson Planning,Plenaries,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,lesson plenary ideas UK teacher,"You are an AI assistant helping a UK teacher design five plenary activities for a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE]. Each plenary should take between five and ten minutes and consolidate learning from the lesson. For each plenary, provide: a name; step-by-step instructions for the teacher; the learning it assesses or consolidates; and how the teacher can use it to inform next steps. Include a range of formats: one exit ticket with three questions (two retrieval, one application); one peer-teaching activity; one whole-class quiz; one written reflection prompt; and one oracy-based summary task. Ensure activities are inclusive and accessible to all pupils, including those with SEND or EAL. Suggest how each plenary can double as formative assessment data the teacher collects without additional marking burden. Align to the lesson's learning objectives."
T010,Cross-Curricular Lesson Planner,Teacher,Lesson Planning,Cross-Curricular,KS3-4,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,cross curricular lesson plan UK secondary,"You are an AI assistant helping a UK secondary teacher plan a cross-curricular lesson that combines [SUBJECT 1] and [SUBJECT 2] at [KEY STAGE], centred on the theme of [THEME OR TOPIC]. Design a 60-minute lesson plan that draws explicitly on knowledge and skills from both subjects. Include: joint learning objectives aligned to both subjects' National Curriculum programmes of study; a starter that activates prior knowledge from both disciplines; a main activity that requires pupils to apply skills from both subjects simultaneously; and a plenary that asks pupils to reflect on connections between the disciplines. Suggest one shared assessment criterion that both subjects could use to evaluate pupil work. Provide a brief collaboration note for the two subject teachers, including suggested pre-lesson communication. List resources needed and any cross-curricular vocabulary to pre-teach. Highlight how this approach develops pupils' broader cultural capital and transferable skills."
T011,Project Based Learning Builder,Teacher,Lesson Planning,Project Based Learning,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,project based learning UK secondary school,"You are an AI assistant helping a UK teacher design a project-based learning (PBL) unit for [SUBJECT] at [KEY STAGE] lasting approximately [NUMBER] weeks. The driving question for the project is: [DRIVING QUESTION]. Design the full PBL unit including: a compelling entry event to launch the project; weekly milestones with key deliverables; opportunities for student voice and choice; formative checkpoints with peer and teacher feedback built in; and a final presentation or product for an authentic audience. Scaffold the project with explicit skill-building lessons for [SPECIFIC SKILL, e.g., research, oracy, or data analysis]. Map each phase of the project to relevant National Curriculum objectives. Suggest assessment criteria for both the process and the final product, referencing the Education Endowment Foundation's guidance on metacognition. Include roles for group work and strategies to ensure equitable participation. Flag any safeguarding or GDPR considerations for the authentic audience element."
T012,Enquiry Lesson Designer,Teacher,Lesson Planning,Enquiry Learning,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,enquiry based learning lesson UK secondary,"You are an AI assistant helping a UK secondary teacher design an enquiry-based lesson for [SUBJECT] at [KEY STAGE] around the key question: [KEY ENQUIRY QUESTION]. Create a 60 to 75-minute lesson plan that places pupils at the centre of the learning through structured enquiry. Include: an engaging hook that raises the question without giving the answer; a source, data, or stimulus analysis activity; a structured discussion or debate phase; an independent written or creative response; and a plenary that revisits the original question. Provide scaffolded question stems for lower-attaining pupils and challenge prompts for higher attainers. Include teacher guidance on facilitating discussion without over-directing. Align the lesson to the relevant National Curriculum attainment target and, where applicable, [EXAM BOARD] assessment objectives. Suggest how pupil responses could be used as evidence in the teacher's assessment portfolio."
T013,High Attainer Challenge Creator,Teacher,Lesson Planning,Stretch and Challenge,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,high attainer stretch challenge activities UK,"You are an AI assistant helping a UK teacher create stretch and challenge activities for high-attaining pupils in [SUBJECT] at [KEY STAGE] on the topic of [TOPIC]. Design five distinct challenge tasks that go beyond the expected curriculum level and develop higher-order thinking skills including analysis, evaluation, and synthesis as defined by Bloom's taxonomy. For each task, provide: a title; a clear brief for the pupil; the thinking skill it develops; a suggested outcome or product; and a teacher prompt for providing feedback. Ensure tasks are open-ended, intellectually demanding, and do not simply add more of the same work. Include at least one task that connects to real-world, contemporary applications. Suggest how high-attaining pupils could share their learning with peers to enrich the whole class. Align all tasks to the relevant National Curriculum or [EXAM BOARD] specification extension criteria."
T014,EAL Adaptation Generator,Teacher,Lesson Planning,EAL Support,KS1-5,Any Subject,EAL,"GDPR Friendly, SEND Friendly, UK Curriculum Aligned",Free,EAL lesson adaptation UK school teacher,"You are an AI assistant helping a UK teacher adapt a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE] for pupils with English as an Additional Language (EAL). The class includes pupils at [EAL PROFICIENCY STAGE, e.g., New to English, Early Acquisition, or Developing Competence] as defined by the Bell Foundation EAL Assessment Framework. Produce a set of targeted adaptations including: a glossary of ten key lesson terms with simple definitions and first-language translation prompts; visual supports to accompany key instructions; sentence frames and writing scaffolds for main tasks; a paired or group structure that enables language modelling; and a simplified version of the success criteria. Suggest two vocabulary pre-teaching strategies to use in the five minutes before the lesson. Provide a brief note on how to assess EAL pupils' understanding in ways that do not conflate language acquisition with subject knowledge. Ensure adaptations are discreet and age-appropriate."
T015,Bloom's Taxonomy Lesson Builder,Teacher,Lesson Planning,Higher Order Thinking,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,Bloom's taxonomy lesson plan UK secondary,"You are an AI assistant helping a UK secondary or sixth-form teacher design a lesson for [SUBJECT] at [KEY STAGE] on [TOPIC] that explicitly moves pupils through all six levels of Bloom's taxonomy: remembering, understanding, applying, analysing, evaluating, and creating. Design a 60-minute lesson plan with one activity or task at each level, clearly labelled. For each activity, provide: the Bloom's level; a brief task description; pupil instructions; approximate timing; and the teacher's facilitation role. Ensure the activities build logically from lower-order to higher-order thinking, with appropriate scaffolding at each transition. Include differentiation suggestions so all pupils access at least the first four levels. Design a challenge extension that reaches the creating level for high attainers. Align all activities to the relevant National Curriculum objectives or [EXAM BOARD] assessment objectives. Include a brief note for the teacher on using Bloom's language in verbal questioning."
T016,Metacognition Lesson Planner,Teacher,Lesson Planning,Metacognition,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,metacognition lesson plan UK secondary EEF,"You are an AI assistant helping a UK secondary teacher embed metacognitive strategies into a lesson for [SUBJECT] at [KEY STAGE] on the topic of [TOPIC]. Drawing on the Education Endowment Foundation's guidance on metacognition and self-regulated learning, design a 60-minute lesson plan that explicitly teaches pupils how to plan, monitor, and evaluate their own learning. Include: a planning phase where pupils set their own learning goals at the start; a monitoring check-in at the midpoint where pupils assess their progress; and an evaluation reflection at the end. Suggest three metacognitive prompts or sentence stems to use at each phase. Design the main subject activity to include moments where pupils make strategic decisions about how to approach a task. Include a teacher-led modelling section that demonstrates thinking aloud. Provide a brief note on how to develop a metacognitive classroom culture over time. Align to National Curriculum objectives for [SUBJECT]."
T017,Literacy Across Curriculum Generator,Teacher,Lesson Planning,Literacy,KS3-4,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,literacy across curriculum UK secondary school,"You are an AI assistant helping a UK secondary teacher embed literacy skills into a [SUBJECT] lesson at [KEY STAGE] on the topic of [TOPIC]. Produce a set of literacy-focused activities and strategies that develop reading, writing, speaking, and listening skills within a subject context. Include: a disciplinary reading activity using a subject-specific text or source; a vocabulary instruction routine for three subject-specific terms; a structured written task with genre-specific sentence frames; and an oracy activity where pupils practise subject-specific language. Suggest how to display and use a working word wall or vocabulary anchor chart. Provide two literacy scaffolds (e.g. writing frames or text annotation guides) described in enough detail that the teacher can create them. Align all activities to the Ofsted definition of reading for pleasure and the school's whole-school literacy policy priorities. Note any adaptations for pupils with dyslexia or EAL."
T018,Numeracy Across Curriculum Builder,Teacher,Lesson Planning,Numeracy,KS3-4,Maths,None,"UK Curriculum Aligned, Age Appropriate",Free,numeracy across curriculum UK secondary teaching,"You are an AI assistant helping a UK secondary teacher embed numeracy skills into a [SUBJECT] lesson at [KEY STAGE] on the topic of [TOPIC]. Design a set of cross-curricular numeracy activities that reinforce mathematical skills within the subject context. Include: one data interpretation task using subject-relevant data; one calculation activity using subject-specific numbers or measurements; one graphing or charting task; and one estimation or probability exercise where relevant. For each activity, note the National Curriculum Maths skill being reinforced (e.g. fractions, ratio, statistics) alongside the subject learning objective. Provide brief teacher guidance on mathematical vocabulary to reinforce. Suggest how the activities connect to the school's whole-school numeracy strategy. Include differentiation for pupils who find maths challenging, such as number lines or provided formulae. Ensure activities are integrated naturally into the subject lesson rather than feeling like a maths lesson."
T019,Independent Learning Planner,Teacher,Lesson Planning,Independent Learning,KS4-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,independent learning strategies KS4 KS5 UK,"You are an AI assistant helping a UK teacher at Key Stage 4 or 5 design an independent learning sequence for [SUBJECT] on the topic of [TOPIC]. This sequence should develop pupils' ability to learn autonomously outside the classroom. Design a four-week independent learning plan including: weekly focus tasks with clear instructions; recommended resources (books, websites, podcasts, or videos) that pupils can access without school login; a weekly self-assessment checkpoint; and a culminating piece of work or presentation. Provide pupil-facing guidance on how to manage their independent study time using techniques such as the Pomodoro method or spaced practice. Include a teacher check-in schedule with three brief touch-points during the four weeks. Suggest how independent learning outcomes can be recognised and celebrated without adding formal marking burden. Align tasks to [EXAM BOARD] specification content. Include a brief note on supporting pupils who struggle with self-motivation."
T020,Homework Task Generator,Teacher,Lesson Planning,Homework,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,homework task ideas UK school teacher,"You are an AI assistant helping a UK teacher design five varied homework tasks for [SUBJECT] at [KEY STAGE] following a lesson on [TOPIC]. Each task should be completable in [TIME, e.g., 20 minutes] without access to school resources. For each task, provide: a title; clear pupil-facing instructions; the learning objective it addresses; the type of thinking required (retrieval, application, or creation); and a suggested self-marking or parent-support strategy. Vary tasks to include: one retrieval task using knowledge from the lesson; one extension reading or research task; one creative or applied task; one revision task connecting to a prior topic; and one oracy or discussion task suitable for talking through with a family member. Ensure tasks are equitable and do not assume access to a computer or printer. Note any adaptations for pupils with SEND or EAL. Align all tasks to the relevant National Curriculum or [EXAM BOARD] specification."
