"Tool","Status","Review basis","Safeguarding","Data Privacy","Age Suitability","Accessibility","Transparency","v2.2 Score","Verdict","Confidence","Cap binds?","Avoid trigger","Evidence gaps"
"Brisk Teaching","SCORED-DRAFT","Desk","7.0","7.5","7.0","4.5","5.5","6.6","Proceed Carefully","Med","No","No","No accessibility doc; models not named"
"Eduaide.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Education Copilot","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Fetchy","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"TeacherMatic","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Curipod","SCORED-DRAFT","Desk","7.0","6.5","5.5","4.5","8.0","6.4","Proceed Carefully","Low","No","No","Age & accessibility unverified (JS); student-facing"
"Nearpod","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"MagicSchool.ai","SCORED-DRAFT","Hands-On","9.6","8.5","9.0","9.0","9.2","9.1","Promptly Recommended","High","No","No","LLM subprocessors / UK DPA unconfirmed"
"Twee","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Diffit","SCORED-DRAFT","Desk","7.0","7.5","7.0","7.0","4.0","6.8","Proceed Carefully","Med","No","No","Model undisclosed; US residency"
"Formative","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Pear Deck","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Conker","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Almanack","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Oak National Academy AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Tes AI Tools","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Numerade","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Kipplo","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ChatClass","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Slidesgo AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Classtime","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Schoolytics","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Teachfloor","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Eduphoria","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Century Tech","SCORED-DRAFT","Desk","6.5","7.5","6.5","4.5","7.0","6.5","Proceed Carefully","Med","No","No","No accessibility doc; DPA/certs"
"IXL","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Khanmigo","SCORED-DRAFT","Desk","6.5","6.5","6.5","8.0","6.5","6.7","Proceed Carefully","Low","No","No","Policies JS-rendered; student-facing -> hands-on"
"SchoolAI","SCORED-DRAFT","Desk","6.5","7.0","6.0","4.5","6.5","6.3","Proceed Carefully","Low","No","No","Accessibility 404; student-facing -> hands-on"
"Quizlet","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Socratic by Google","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Duolingo","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","Safeguarding/Accessibility/Transparency unverified; privacy/age JS-rendered"
"Photomath","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Wolfram Alpha","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Sparx Maths","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","No dedicated Safeguarding policy; WCAG level + full DPA not fetchable"
"Sparx Reader","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Seneca Learning","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","4 of 5 pillars unverified incl. Safeguarding"
"DragonBox","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Flint","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Revision Genie","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Memrise","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"GCSEPod","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Tassomai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Brainly","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
